date,commodity,inflation_daily,inflation_weekly,inflation_monthly,inflation_annual
2021-05-17,Onion,,,,
2021-05-18,Onion,0.0,,,
2021-05-19,Onion,2.5641,,,
2021-05-20,Onion,5.0,,,
2021-05-21,Onion,0.0,,,
2021-05-22,Onion,0.0,,,
2021-05-23,Onion,0.0,,,
2021-05-24,Onion,0.0,7.6923,,
2021-05-25,Onion,0.0,7.6923,,
2021-05-26,Onion,0.0,5.0,,
2021-05-27,Onion,9.5238,9.5238,,
2021-05-28,Onion,2.1739,11.9048,,
2021-05-29,Onion,0.0,11.9048,,
2021-05-30,Onion,0.0,11.9048,,
2021-05-31,Onion,0.0,11.9048,,
2021-06-01,Onion,0.0,11.9048,,
2021-06-02,Onion,0.0,11.9048,,
2021-06-03,Onion,4.2553,6.5217,,
2021-06-04,Onion,2.0408,6.383,,
2021-06-05,Onion,10.0,17.0213,,
2021-06-06,Onion,-7.2727,8.5106,,
2021-06-07,Onion,-1.9608,6.383,,
2021-06-08,Onion,0.0,6.383,,
2021-06-09,Onion,-6.0,0.0,,
2021-06-10,Onion,0.0,-4.0816,,
2021-06-11,Onion,0.0,-6.0,,
2021-06-12,Onion,0.0,-14.5454,,
2021-06-13,Onion,-0.0,-7.8431,,
2021-06-14,Onion,0.0,-6.0,,
2021-06-15,Onion,0.0,-6.0,,
2021-06-16,Onion,0.0,-0.0,20.5128,
2021-06-17,Onion,0.0,-0.0,20.5128,
2021-06-18,Onion,0.0,-0.0,17.5,
2021-06-19,Onion,0.0,-0.0,11.9048,
2021-06-20,Onion,0.0,0.0,11.9048,
2021-06-21,Onion,0.0,0.0,11.9048,
2021-06-22,Onion,-0.0,0.0,11.9048,
2021-06-23,Onion,0.0,0.0,11.9048,
2021-06-24,Onion,0.0,0.0,11.9048,
2021-06-25,Onion,0.0,0.0,11.9048,
2021-06-26,Onion,0.0,0.0,2.1739,
2021-06-27,Onion,0.0,-0.0,0.0,
2021-06-28,Onion,0.0,-0.0,0.0,
2021-06-29,Onion,0.0,0.0,0.0,
2021-06-30,Onion,0.0,0.0,0.0,
2021-07-01,Onion,0.0,0.0,0.0,
2021-07-02,Onion,-0.0,0.0,0.0,
2021-07-03,Onion,0.0,0.0,-4.0816,
2021-07-04,Onion,0.0,0.0,-6.0,
2021-07-05,Onion,-0.0,0.0,-14.5455,
2021-07-06,Onion,0.0,0.0,-7.8431,
2021-07-07,Onion,0.0,-0.0,-6.0,
2021-07-08,Onion,0.0,-0.0,-6.0,
2021-07-09,Onion,0.0,0.0,-0.0,
2021-07-10,Onion,0.0,-0.0,-0.0,
2021-07-11,Onion,0.0,0.0,0.0,
2021-07-12,Onion,-0.0,0.0,-0.0,
2021-07-13,Onion,0.0,0.0,0.0,
2021-07-14,Onion,0.0,0.0,0.0,
2021-07-15,Onion,0.0,0.0,0.0,
2021-07-16,Onion,0.0,0.0,0.0,
2021-07-17,Onion,0.0,0.0,0.0,
2021-07-18,Onion,0.0,0.0,0.0,
2021-07-19,Onion,-0.0,0.0,0.0,
2021-07-20,Onion,0.0,0.0,-0.0,
2021-07-21,Onion,0.0,0.0,-0.0,
2021-07-22,Onion,0.0,0.0,0.0,
2021-07-23,Onion,0.0,0.0,0.0,
2021-07-24,Onion,0.0,0.0,0.0,
2021-07-25,Onion,0.0,-0.0,0.0,
2021-07-26,Onion,0.0,0.0,0.0,
2021-07-27,Onion,0.0,0.0,0.0,
2021-07-28,Onion,0.0,0.0,0.0,
2021-07-29,Onion,0.0,0.0,0.0,
2021-07-30,Onion,0.0,0.0,-0.0,
2021-07-31,Onion,0.0,0.0,-0.0,
2021-08-01,Onion,0.0,0.0,0.0,
2021-08-02,Onion,0.0,0.0,-0.0,
2021-08-03,Onion,0.0,0.0,-0.0,
2021-08-04,Onion,0.0,0.0,0.0,
2021-08-05,Onion,0.0,0.0,0.0,
2021-08-06,Onion,0.0,0.0,0.0,
2021-08-07,Onion,0.0,0.0,0.0,
2021-08-08,Onion,0.0,0.0,0.0,
2021-08-09,Onion,0.0,0.0,0.0,
2021-08-10,Onion,0.0,0.0,-0.0,
2021-08-11,Onion,0.0,0.0,0.0,
2021-08-12,Onion,0.0,0.0,0.0,
2021-08-13,Onion,0.0,0.0,0.0,
2021-08-14,Onion,0.0,0.0,0.0,
2021-08-15,Onion,0.0,0.0,0.0,
2021-08-16,Onion,0.0,0.0,0.0,
2021-08-17,Onion,-0.0,-0.0,-0.0,
2021-08-18,Onion,0.0,0.0,0.0,
2021-08-19,Onion,-0.0,-0.0,-0.0,
2021-08-20,Onion,0.0,-0.0,-0.0,
2021-08-21,Onion,0.0,-0.0,-0.0,
2021-08-22,Onion,-2.1277,-2.1277,-2.1277,
2021-08-23,Onion,-4.3478,-6.383,-6.383,
2021-08-24,Onion,-2.2727,-8.5106,-8.5106,
2021-08-25,Onion,0.0,-8.5106,-8.5106,
2021-08-26,Onion,0.0,-8.5106,-8.5106,
2021-08-27,Onion,9.3023,0.0,0.0,
2021-08-28,Onion,0.0,0.0,0.0,
2021-08-29,Onion,0.0,2.1739,0.0,
2021-08-30,Onion,-8.5106,-2.2727,-8.5106,
2021-08-31,Onion,0.0,0.0,-8.5106,
2021-09-01,Onion,0.0,-0.0,-8.5106,
2021-09-02,Onion,0.0,-0.0,-8.5106,
2021-09-03,Onion,0.0,-8.5106,-8.5106,
2021-09-04,Onion,0.0,-8.5106,-8.5106,
2021-09-05,Onion,0.0,-8.5106,-8.5106,
2021-09-06,Onion,0.0,0.0,-8.5106,
2021-09-07,Onion,-0.0,-0.0,-8.5107,
2021-09-08,Onion,0.0,-0.0,-8.5107,
2021-09-09,Onion,0.0,-0.0,-8.5107,
2021-09-10,Onion,0.0,-0.0,-8.5107,
2021-09-11,Onion,0.0,0.0,-8.5106,
2021-09-12,Onion,-0.0,0.0,-8.5106,
2021-09-13,Onion,0.0,0.0,-8.5106,
2021-09-14,Onion,0.0,0.0,-8.5106,
2021-09-15,Onion,0.0,0.0,-8.5106,
2021-09-16,Onion,0.0,0.0,-8.5106,
2021-09-17,Onion,0.0,0.0,-8.5106,
2021-09-18,Onion,0.0,-0.0,-8.5106,
2021-09-19,Onion,0.0,0.0,-8.5106,
2021-09-20,Onion,-0.0,-0.0,-8.5106,
2021-09-21,Onion,0.0,-0.0,-6.5217,
2021-09-22,Onion,0.0,-0.0,-2.2727,
2021-09-23,Onion,0.0,-0.0,-0.0,
2021-09-24,Onion,0.0,-0.0,-0.0,
2021-09-25,Onion,4.6512,4.6511,4.6511,
2021-09-26,Onion,0.0,4.6512,-4.2553,
2021-09-27,Onion,0.0,4.6512,-4.2553,
2021-09-28,Onion,2.2222,6.9768,-2.1277,
2021-09-29,Onion,0.0,6.9768,6.9767,
2021-09-30,Onion,2.1739,9.3023,9.3023,
2021-10-01,Onion,0.0,9.3023,9.3023,
2021-10-02,Onion,10.6383,15.5556,20.9302,
2021-10-03,Onion,9.6154,26.6667,32.5581,
2021-10-04,Onion,8.7719,37.7778,44.186,
2021-10-05,Onion,4.8387,41.3043,51.1628,
2021-10-06,Onion,6.7891,50.8976,61.4253,
2021-10-07,Onion,0.0,47.687,61.4254,
2021-10-08,Onion,0.0,47.687,61.4254,
2021-10-09,Onion,0.8458,34.6154,62.7907,
2021-10-10,Onion,2.8571,26.3158,67.4419,
2021-10-11,Onion,0.0,16.129,67.4418,
2021-10-12,Onion,0.0,10.7692,67.4419,
2021-10-13,Onion,-5.5556,-2.0355,58.1395,
2021-10-14,Onion,-4.4118,-6.3575,51.1628,
2021-10-15,Onion,-3.0769,-9.2388,46.5116,
2021-10-16,Onion,0.0,-10.0,46.5116,
2021-10-17,Onion,-1.5873,-13.8889,44.186,
2021-10-18,Onion,0.0,-13.8889,44.186,
2021-10-19,Onion,0.0,-13.8889,44.186,
2021-10-20,Onion,-3.2258,-11.7647,39.5349,
2021-10-21,Onion,-5.0,-12.3077,32.5582,
2021-10-22,Onion,5.2632,-4.7619,39.5349,
2021-10-23,Onion,-3.3333,-7.9365,34.8837,
2021-10-24,Onion,-1.7241,-8.0645,32.5582,
2021-10-25,Onion,5.2632,-3.2258,33.3334,
2021-10-26,Onion,3.3333,0.0,37.7778,
2021-10-27,Onion,0.0,3.3333,37.7778,
2021-10-28,Onion,0.0,8.7719,34.7826,
2021-10-29,Onion,-3.2258,0.0,30.4348,
2021-10-30,Onion,-1.6667,1.7241,25.5319,
2021-10-31,Onion,-1.6949,1.7544,23.4043,
2021-11-01,Onion,-1.7241,-5.0,9.6154,
2021-11-02,Onion,0.0,-8.0645,0.0,
2021-11-03,Onion,0.0,-8.0645,-8.0645,
2021-11-04,Onion,-1.7544,-9.6774,-13.8462,
2021-11-05,Onion,1.7857,-5.0,-17.8827,
2021-11-06,Onion,1.7544,-1.6949,-16.442,
2021-11-07,Onion,-3.4483,-3.4483,-19.3234,
2021-11-08,Onion,-1.7857,-3.5088,-21.4286,
2021-11-09,Onion,0.0,-3.5088,-23.6111,
2021-11-10,Onion,3.6364,0.0,-20.8333,
2021-11-11,Onion,1.7544,3.5714,-19.4444,
2021-11-12,Onion,1.7241,3.5088,-13.2353,
2021-11-13,Onion,1.6949,3.4483,-7.6923,
2021-11-14,Onion,0.0,7.1429,-4.7619,
2021-11-15,Onion,3.3333,12.7273,-1.5873,
2021-11-16,Onion,0.0,12.7273,0.0,
2021-11-17,Onion,0.0,8.7719,0.0,
2021-11-18,Onion,-3.2258,3.4483,-3.2258,
2021-11-19,Onion,0.0,1.6949,0.0,
2021-11-20,Onion,0.0,0.0,5.2632,
2021-11-21,Onion,0.0,0.0,0.0,
2021-11-22,Onion,0.0,-3.2258,3.4483,
2021-11-23,Onion,-3.3333,-6.4516,1.7544,
2021-11-24,Onion,-1.7241,-8.0645,-5.0,
2021-11-25,Onion,0.0,-5.0,-8.0645,
2021-11-26,Onion,0.0,-5.0,-8.0645,
2021-11-27,Onion,0.0,-5.0,-8.0645,
2021-11-28,Onion,-8.7719,-13.3333,-13.3333,
2021-11-29,Onion,0.0,-13.3333,-11.8644,
2021-11-30,Onion,0.0,-10.3448,-10.3448,
2021-12-01,Onion,0.0,-8.7719,-8.7719,
2021-12-02,Onion,0.0,-8.7719,-8.7719,
2021-12-03,Onion,0.0,-8.7719,-8.7719,
2021-12-04,Onion,0.0,-8.7719,-7.1429,
2021-12-05,Onion,15.3846,15.3846,5.2632,
2021-12-06,Onion,10.0,26.9231,13.7931,
2021-12-07,Onion,4.5455,32.6923,23.2143,
2021-12-08,Onion,2.8986,36.5385,29.0909,
2021-12-09,Onion,1.4085,38.4615,30.9091,
2021-12-10,Onion,0.0,38.4615,26.3158,
2021-12-11,Onion,-5.5556,30.7692,17.2414,
2021-12-12,Onion,-4.4118,8.3333,10.1695,
2021-12-13,Onion,-4.6154,-6.0606,3.3333,
2021-12-14,Onion,-3.2258,-13.0435,0.0,
2021-12-15,Onion,-3.3333,-18.3099,-6.4516,
2021-12-16,Onion,0.0,-19.4444,-6.4516,
2021-12-17,Onion,-1.7241,-20.8333,-8.0645,
2021-12-18,Onion,0.0,-16.1765,-5.0,
2021-12-19,Onion,-8.7719,-20.0,-13.3333,
2021-12-20,Onion,-3.8462,-19.3548,-16.6667,
2021-12-21,Onion,0.0,-16.6667,-16.6667,
2021-12-22,Onion,0.0,-13.7931,-16.6667,
2021-12-23,Onion,2.0,-12.069,-12.069,
2021-12-24,Onion,1.9608,-8.7719,-8.7719,
2021-12-25,Onion,-1.9231,-10.5263,-10.5263,
2021-12-26,Onion,-1.9608,-3.8462,-12.2807,
2021-12-27,Onion,0.0,0.0,-12.2807,
2021-12-28,Onion,-6.0,-6.0,-9.6154,
2021-12-29,Onion,-4.2553,-10.0,-13.4615,
2021-12-30,Onion,0.0,-11.7647,-13.4615,
2021-12-31,Onion,0.0,-13.4615,-13.4615,
2022-01-01,Onion,-0.0,-11.7647,-13.4616,
2022-01-02,Onion,-2.2222,-12.0,-15.3846,
2022-01-03,Onion,0.0,-12.0,-15.3846,
2022-01-04,Onion,0.0,-6.383,-26.6667,
2022-01-05,Onion,-2.2727,-4.4444,-34.8485,
2022-01-06,Onion,-2.3256,-6.6667,-39.1304,
2022-01-07,Onion,0.0,-6.6667,-40.8451,
2022-01-08,Onion,-0.0,-6.6667,-41.6667,
2022-01-09,Onion,-2.381,-6.8182,-43.0556,
2022-01-10,Onion,-2.439,-9.0909,-41.1765,
2022-01-11,Onion,0.0,-9.0909,-38.4615,
2022-01-12,Onion,0.0,-6.9768,-35.4839,
2022-01-13,Onion,0.0,-4.7619,-33.3333,
2022-01-14,Onion,0.0,-4.7619,-31.0345,
2022-01-15,Onion,0.0,-4.7619,-31.0345,
2022-01-16,Onion,0.0,-2.439,-29.8246,
2022-01-17,Onion,0.0,0.0,-29.8246,
2022-01-18,Onion,-7.5,-7.5,-28.8462,
2022-01-19,Onion,-2.7027,-10.0,-28.0,
2022-01-20,Onion,-2.7778,-12.5,-30.0,
2022-01-21,Onion,-5.7143,-17.5,-34.0,
2022-01-22,Onion,-3.0303,-20.0,-37.2549,
2022-01-23,Onion,-6.25,-25.0,-42.3077,
2022-01-24,Onion,-0.0,-25.0,-41.1765,
2022-01-25,Onion,0.0,-18.9189,-40.0,
2022-01-26,Onion,0.0,-16.6667,-40.0,
2022-01-27,Onion,0.0,-14.2857,-36.1702,
2022-01-28,Onion,0.0,-9.0909,-33.3333,
2022-01-29,Onion,-0.0,-6.25,-33.3333,
2022-01-30,Onion,0.0,0.0,-33.3333,
2022-01-31,Onion,-0.0,0.0,-33.3333,
2022-02-01,Onion,0.0,0.0,-31.8182,
2022-02-02,Onion,0.0,0.0,-31.8182,
2022-02-03,Onion,0.0,-0.0,-31.8182,
2022-02-04,Onion,0.0,-0.0,-30.2326,
2022-02-05,Onion,0.0,0.0,-28.5715,
2022-02-06,Onion,0.0,0.0,-28.5714,
2022-02-07,Onion,0.0,0.0,-28.5714,
2022-02-08,Onion,0.0,0.0,-26.8293,
2022-02-09,Onion,0.0,0.0,-25.0,
2022-02-10,Onion,0.0,0.0,-25.0,
2022-02-11,Onion,0.0,0.0,-25.0,
2022-02-12,Onion,20.0,20.0,-10.0,
2022-02-13,Onion,8.3333,30.0,-2.5,
2022-02-14,Onion,5.1282,36.6667,2.5,
2022-02-15,Onion,2.439,40.0,5.0,
2022-02-16,Onion,2.381,43.3333,7.5,
2022-02-17,Onion,2.3256,46.6667,18.9189,
2022-02-18,Onion,2.2727,50.0,25.0,
2022-02-19,Onion,0.0,25.0,28.5714,
2022-02-20,Onion,4.4444,20.5128,42.4242,
2022-02-21,Onion,0.0,14.6342,46.875,
2022-02-22,Onion,0.0,11.9048,56.6667,
2022-02-23,Onion,0.0,9.3023,56.6667,
2022-02-24,Onion,-0.0,6.8182,56.6667,
2022-02-25,Onion,0.0,4.4444,56.6667,
2022-02-26,Onion,0.0,4.4444,56.6667,
2022-02-27,Onion,0.0,0.0,56.6667,
2022-02-28,Onion,0.0,-0.0,56.6667,
2022-03-01,Onion,0.0,-0.0,56.6667,
2022-03-02,Onion,0.0,-0.0,56.6667,
2022-03-03,Onion,6.383,6.383,66.6667,
2022-03-04,Onion,10.0,17.0213,83.3334,
2022-03-05,Onion,3.6364,21.2766,90.0,
2022-03-06,Onion,1.7544,23.4043,93.3334,
2022-03-07,Onion,3.4483,27.6596,100.0,
2022-03-08,Onion,0.0,27.6596,100.0,
2022-03-09,Onion,0.0,27.6596,100.0,
2022-03-10,Onion,0.0,20.0,100.0,
2022-03-11,Onion,0.0,9.0909,100.0,
2022-03-12,Onion,0.0,5.2632,100.0,
2022-03-13,Onion,0.0,3.4483,100.0,
2022-03-14,Onion,0.0,0.0,66.6667,
2022-03-15,Onion,0.0,0.0,53.8462,
2022-03-16,Onion,0.0,0.0,46.3415,
2022-03-17,Onion,0.0,0.0,42.8571,
2022-03-18,Onion,-5.0,-5.0,32.5582,
2022-03-19,Onion,0.0,-5.0,29.5455,
2022-03-20,Onion,0.0,-5.0,26.6667,
2022-03-21,Onion,-2.2557,-7.1429,23.8095,
2022-03-22,Onion,-3.8462,-10.7143,13.9818,
2022-03-23,Onion,-4.0,-14.2857,9.4225,
2022-03-24,Onion,-4.1667,-17.8571,4.8632,
2022-03-25,Onion,-4.3478,-17.2932,0.3039,
2022-03-26,Onion,-4.5455,-21.0526,-4.2553,
2022-03-27,Onion,-4.7619,-24.812,-8.8146,
2022-03-28,Onion,-5.0,-26.9231,-13.3739,
2022-03-29,Onion,-5.2632,-28.0,-17.9331,
2022-03-30,Onion,-5.5556,-29.1667,-22.4924,
2022-03-31,Onion,-5.8824,-30.4348,-27.0517,
2022-04-01,Onion,-6.25,-31.8182,-31.6109,
2022-04-02,Onion,-6.6667,-33.3333,-40.0,
2022-04-03,Onion,0.0,-30.0,-45.4545,
2022-04-04,Onion,0.0,-26.3158,-47.3684,
2022-04-05,Onion,0.0,-22.2222,-48.2759,
2022-04-06,Onion,0.0,-17.6471,-50.0,
2022-04-07,Onion,0.0,-12.5,-50.0,
2022-04-08,Onion,0.0,-6.6667,-50.0,
2022-04-09,Onion,0.0,0.0,-50.0,
2022-04-10,Onion,0.0,0.0,-50.0,
2022-04-11,Onion,0.0,0.0,-50.0,
2022-04-12,Onion,0.0,0.0,-50.0,
2022-04-13,Onion,-0.0,-0.0,-50.0,
2022-04-14,Onion,0.0,-0.0,-50.0,
2022-04-15,Onion,0.0,-0.0,-50.0,
2022-04-16,Onion,0.0,0.0,-50.0,
2022-04-17,Onion,-0.0,-0.0,-47.3684,
2022-04-18,Onion,0.0,-0.0,-47.3684,
2022-04-19,Onion,0.0,-0.0,-47.3684,
2022-04-20,Onion,0.0,0.0,-46.1539,
2022-04-21,Onion,0.0,0.0,-44.0,
2022-04-22,Onion,-10.0,-10.0,-47.5,
2022-04-23,Onion,45.9737,31.3763,-20.0318,
2022-04-24,Onion,0.0,31.3764,-16.3969,
2022-04-25,Onion,0.0,31.3764,-12.4158,
2022-04-26,Onion,-18.8083,6.6667,-25.3333,
2022-04-27,Onion,0.0,6.6667,-21.4035,
2022-04-28,Onion,0.0,6.6667,-17.037,
2022-04-29,Onion,0.0,18.5185,-12.1569,
2022-04-30,Onion,0.0,-18.8083,-6.6667,
2022-05-01,Onion,0.0,-18.8083,-0.4444,
2022-05-02,Onion,0.0,-18.8083,6.6667,
2022-05-03,Onion,0.0,0.0,6.6667,
2022-05-04,Onion,0.0,0.0,6.6667,
2022-05-05,Onion,0.0,0.0,6.6667,
2022-05-06,Onion,0.0,0.0,6.6667,
2022-05-07,Onion,3.125,3.125,10.0,
2022-05-08,Onion,3.0303,6.25,13.3333,
2022-05-09,Onion,2.9412,9.375,16.6667,
2022-05-10,Onion,2.8571,12.5,20.0,
2022-05-11,Onion,2.7778,15.625,23.3333,
2022-05-12,Onion,2.7027,18.75,26.6667,
2022-05-13,Onion,2.6316,21.875,30.0,
2022-05-14,Onion,2.5641,21.2121,33.3334,
2022-05-15,Onion,2.5,20.5882,36.6667,
2022-05-16,Onion,2.439,20.0,40.0,
2022-05-17,Onion,0.0,16.6667,40.0,7.6923
2022-05-18,Onion,-2.381,10.8108,36.6667,5.1282
2022-05-19,Onion,-2.439,5.2632,33.3334,0.0
