commodity,model,MAE,RMSE,MAPE,skill_vs_naive,is_best_model
Onion,SARIMA,0.829531,1.610679,1.735382,75.7586,False
Onion,XGBoost,1.157844,1.782989,2.453375,66.1642,False
Onion,LSTM,0.921513,1.642642,1.971174,73.0706,False
Onion,Ensemble,0.815318,1.591105,1.735946,76.1739,True
Onion,Seasonal Naive,3.421954,6.426241,6.857637,0.0,False
Potato,SARIMA,0.354685,0.961608,1.436002,75.3319,True
Potato,XGBoost,0.571848,1.075293,2.449975,60.2284,False
Potato,LSTM,0.50652,0.978155,2.169998,64.7719,False
Potato,Ensemble,0.415325,0.950996,1.742875,71.1144,False
Potato,Seasonal Naive,1.43783,2.520934,5.868685,0.0,False
Soybean Oil,SARIMA,0.222792,0.738776,0.118683,73.7891,True
Soybean Oil,XGBoost,0.432867,0.781607,0.231911,49.0744,False
Soybean Oil,LSTM,0.974145,1.593266,0.517411,-14.6053,False
Soybean Oil,Ensemble,0.335825,0.766395,0.178968,60.4912,False
Soybean Oil,Seasonal Naive,0.85,2.012461,0.452324,0.0,False
